feature,importance
DIE_std,0.08701990498830162
CastFilmP2_range,0.07003336191821079
CastFilmP2_iqr,0.06705683312556612
DIE_range,0.060597801485944604
CastFilmP2_std,0.052362414264951064
DIE_iqr,0.04940318590608141
CastFilmBody_std,0.04508860102106991
CastFilmP1_std,0.0438636835232524
CastFilmBody_range,0.04226430358618557
CastFilmP1_range,0.04206226849990234
CastFilmP1_iqr,0.037355033018090296
CastFilmBody_iqr,0.03723438312760311
Z4_iqr,0.028919594334695514
Z5_iqr,0.02569946316909973
Z4_std,0.02532207647510137
Z6_std,0.020935250727048774
Z5_std,0.018645675163831362
Z7_std,0.018264041739832104
Z7_iqr,0.015079803958771882
Z8_iqr,0.014267510942981084
Z8_std,0.01338171532071276
Z4_range,0.01242083512597823
Z6_iqr,0.011416907056265234
Z8_range,0.01068053948423203
Z3_std,0.009357255233623017
CastFilmBody_slope,0.008270099749817093
Z3_range,0.008059781255624707
Z8_slope,0.007028540776294243
Z3_iqr,0.006520800264341496
CastFilmP2_slope,0.006279794617992038
DIE_slope,0.005887792055246588
Z6_range,0.005692354779518242
Z2_range,0.005189372883455169
Z5_slope,0.005106713217126584
Z4_slope,0.00488695259572421
Z7_slope,0.003997701608992186
Z2_std,0.003935197807524555
Z5_range,0.0037187368408601873
Z2_slope,0.003097859640442596
CastFilmP1_slope,0.0029832825105464626
Z6_slope,0.0029627011562072037
Z3_slope,0.002530439022179826
Z2_iqr,0.002403959999918621
Z1_mean,0.002272184449302325
Z7_range,0.002258861459695017
Z2_mean,0.0019621767867544528
Z1_max,0.0019354521583550741
Z1_min,0.0017692726739427565
CastFilmBody_min,0.0015189851039781443
Z6_min,0.0014883022410348574
Z6_max,0.0013987703443796191
Z2_max,0.0012699347998739697
grad_DIE_minus_Z8,0.0012545907684660853
Z8_mean,0.0012528321260101886
Z1_std,0.0012472575203452986
Z3_min,0.0012468660120444172
Z7_mean,0.0012370861089827866
Z2_min,0.001232818094485547
Z3_max,0.0012202355092073422
CastFilmBody_max,0.0012173668622911078
Z3_mean,0.0012058442282960463
Z7_min,0.0012014462577343748
DIE_max,0.0012009303619721977
CastFilmP2_min,0.0011987407276827769
CastFilmP1_min,0.0011961184833247415
CastFilmP1_mean,0.0011926761779258673
CastFilmP2_mean,0.0011726615002349385
Z1_range,0.001171321411710356
grad_Z8_minus_Z1,0.0011554680196557067
CastFilmBody_mean,0.0011445081856050925
Z6_mean,0.0011208626500197024
Z8_max,0.001103322660220706
Z7_max,0.0010819860636617292
CastFilmP2_max,0.0010439274093356967
Z1_iqr,0.0010423763489387703
Z5_min,0.0010409568257608985
DIE_min,0.0009996948365345508
DIE_mean,0.0009928422877634694
Z8_min,0.0009534497027601789
Z4_max,0.0009251476339023787
Z4_mean,0.0008905788923392917
Z5_mean,0.0008766864403202219
Z4_min,0.0007540004023631898
Z1_slope,0.0007072835945494062
CastFilmP1_max,0.0006771975974047662
Z5_max,0.000568425213601168
grad_CastFilm_minus_DIE,0.0003140290880885527
