model,macro_f1_none,macro_f1_none_std,roc_auc_none,roc_auc_none_std,macro_f1_pooled_global,macro_f1_pooled_global_std,roc_auc_pooled_global,roc_auc_pooled_global_std,macro_f1_fold_aware,macro_f1_fold_aware_std,roc_auc_fold_aware,roc_auc_fold_aware_std,delta_macro_f1_pooled_global,delta_macro_f1_fold_aware,leakage_inflation
Logistic regression,0.798998,0.163130,0.892505,0.105367,0.859647,0.110669,0.954457,0.037311,0.808821,0.173139,0.905059,0.100309,0.060649,0.009823,0.050827
SVM (RBF),0.805223,0.170949,0.904102,0.107901,0.868116,0.089498,0.945209,0.045889,0.823613,0.138680,0.907673,0.107048,0.062893,0.018390,0.044503
Random Forest,0.809257,0.176327,0.924802,0.056084,0.918119,0.054417,0.944674,0.052138,0.808505,0.125672,0.912535,0.076732,0.108862,-0.000752,0.109615
XGBoost,0.757334,0.212956,0.897053,0.111942,0.899576,0.073462,0.949640,0.037628,0.801157,0.158818,0.922285,0.069550,0.142242,0.043823,0.098419
Neural network (MLP),0.777528,0.217132,0.848660,0.239324,0.861724,0.117831,0.946666,0.040974,0.781241,0.164325,0.827617,0.180368,0.084196,0.003713,0.080483
