evaluation_dataset,number_of_windows,stable_pct,unstable_pct,macro_f1,stable_f1,unstable_f1,unstable_precision,unstable_recall,specificity,negative_predictive_value,accuracy,balanced_accuracy,roc_auc,pr_auc_unstable,tp_unstable_detected,fn_unstable_missed,fp_false_alarm,tn_stable_ok,dominant_error
"A — Leave-One-Group-Out, 8 essais réels",627,71.610000,28.390000,0.821047,0.907527,0.734568,0.815068,0.668539,0.939866,0.877339,0.862839,0.804203,0.941011,0.879292,119,59,27,422,instabilités non détectées
B — Dataset continu simulé (validation externe),3479,88.500000,11.500000,0.598304,0.838698,0.357910,0.250752,0.625000,0.757389,0.939565,0.742167,0.691194,0.753463,0.284182,250,150,747,2332,fausses alertes
