Evaluation dataset,Number of windows,Stable/unstable distribution,Macro-F1,Unstable precision,Unstable recall,Specificity,Accuracy,Balanced accuracy,ROC-AUC,PR-AUC
"A — Leave-One-Group-Out, 8 essais réels",627,71.6 % / 28.4 %,0.821,0.815,0.669,0.940,0.863,0.804,0.941,0.879
B — Dataset continu simulé (validation externe),3479,88.5 % / 11.5 %,0.598,0.251,0.625,0.757,0.742,0.691,0.753,0.284
